Record Number,Species,Project,Date,Year,State,Location,Latitude,Longitude,Elevation,Time,Band#,Color,Sex,Age,Blood,Fecal,CP,Photo,Measurer,Wing,Tail,Tarsus,Mites,Geo,Recapture,Notes,Bill_Culmen,Bill_Exposed,Bill_Depth,Bill_Width,Throat_extent_yellow,Throat_saturation_yellow,Throat_white_corners,Auricular_extent,Auricular_saturation,SPOT,LINE,TAIL,Wing_patch,Call_present,Call_recording_number
VE29T01,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.037791,-115.023695,1366,5:43,279000603,,M,SY,Y,N,3,Cannon,DT,74,61,18.1,,,,Wing patch from photo; new corners from photo,7.2,9.2,3.3,3.3,40,20,100,90,70,90,100,F,20,Y,220529-000
VE29T02,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.031832,-115.012685,1380,6:50,279000604,,F,ASY,Y,N,3,Cannon,DT,73,66,18.1,,,,Wing patch from photo,6.9,8.7,3.4,3.1,10,10,100,80,50,80,10,C,10,Y,220529-001
VE29P01,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.031832,-115.012685,1380,6:43,279000605,,M,SY,Y,Y,3,Cannon,LP,75,58,17.6,,,,Wing patch from photo,6.5,8.3,2.8,2.9,10,20,100,100,95,90,60,D,40,Y,220529-002
VE29P02,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.031832,-115.012685,1380,6:50,279000606,,M,SY?,Y,Y,3,Cannon,LP,78,58,19.2,,,,Wing patch from photo,7.1,9.1,3.2,3.3,95,95,10,10,10,20,5,E,40,Y,220529-003
VE29T03,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.033926,-115.004625,1414,8:00,279000607,,M,SY,Y,Y,3,Cannon,DT,72,57,17.8,,,,Wing patch from photo,7.3,9.6,3.1,2.7,85,95,70,90,10,0,5,E,10,N,220529-005
VE29P03,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.033926,-115.004625,1414,8:00,279000608,,M,SY,Y,Y,3,Cannon,LP,76,60,18.3,,,,Wing patch from photo,6.9,9.3,3.2,3.3,70,80,90,90,70,90,80,F,30,Y,220529-006
VE29P04,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.052767,-114.946834,1520,9:55,279000609,,M?,SY,Y,Y,2,Cannon,LP,69,55,18.9,,,,Wing patch from photo,6.6,9,3.1,3,60,10,80,80,5,50,10,C,0,Y,220529-007
VE29T04,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.052767,-114.946834,1520,10:20,279000610,,M,SY,Y,Y,3,Cannon,DT,76,61,19.1,,,,Wing patch from photo,7.6,9.2,3.3,3,97,98,20,10,10,0,5,E,20,Y,220529-008
VE29P05,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.053853,-114.929431,1492,11:00,279000611,,M,SY,Y,Y,3,Cannon,LP,75,56,19,,,,Wing patch from photo; new corners from photo,6.7,8.5,3.1,3.1,90,100,10,30,20,50,30,E,0,Y,220529-009
VE29T05,UYRW,YRWA_hybrid_zone,5/29/22,2022,AB,Sibbald Creek Trail,51.053853,-114.929431,1492,11:35,279000612,,M,ASY?,Y,Y,3,Cannon,DT,74,58,18.7,,,,Wing patch from photo; new corners from photo,7,9.8,3.2,3.3,90,90,50,80,30,5,15,D,30,Y,220529-010
