ID,species,sex,,how_sexed,location,lat,lon,,,ele,date,time,band,age,,how_aged,breeding,Throat_extent_yellow,Throat_saturation_yellow,Throat_white_corners,Auricular_extent,Auricular_saturation,SPOT,LINE,TAIL,Wing_patch,paper,buffer,fecal,chord,tail,tarsus,Bill_Culmen,Bill_Width,Bill_Depth,W1,W2,weight
CE06D01,AUWA,M,Male,Cloaca,Hope,49.23811,-121.38604,49:14:17,-121:23:10,429,5/7/23,19:39,278065811,ASY,After Second Year,,CP,95,100,0,10,20,5,0,,100,y,y,n,75,60.5,18.67,7.34,3.04,3.11,30,18,12
CE06D02,AUWA,M,Male,Cloaca,Hope,49.23811,-121.38604,49:14:17,-121:23:10,429,5/7/23,20:10:00,278065812,ASY,After Second Year,,CP,95,95,10,40,10,5,5,,100,y,y,n,77,58,18.37,7.33,3,3.18,30,18,12
CE07D01,AUWA,M,Male,Cloaca,Hope,49.23391,-121.38602,49:14:02,-121:23:10,433,5/8/23,6:10:00,278065813,ASY,After Second Year,,CP,98,100,5,10,10,0,0,F,100,n,y,y,76.5,61,20.07,7.55,3.4,3.23,38,26.5,11.5
CE07D02,AUWA,M,Male,Cloaca,Hope,49.23242,-121.38621,49:13:57,-121:23:10,424,5/8/23,,278065814,ASY,After Second Year,,CP,98,100,0,5,5,0,0,F,100,y,y,n,76,58.5,19.24,6.89,3.13,3.16,37.5,25.5,12
CE07D03,AUWA,F,Female,Body Plumage,Hope,49.23242,-121.38621,49:13:57,-121:23:10,424,5/8/23,,278065815,AHY,After Hatching Year,,N,70,70,0,0,0,5,0,F,NA,y,y,y,71.5,55,18.38,7.37,3.32,3.26,37.5,25.8,11.7
CE07D04,AUWA,F,Female,Body Plumage,Hope,49.23242,-121.38621,49:13:57,-121:23:10,424,5/8/23,,278065816,ASY,After Second Year,,N,70,60,0,0,0,0,5,F,NA,y?,y?,y,71,55.5,18.28,7.68,3,3.17,30,18,12
CE07D05,AUWA,F,,,Hope,49.23391,-121.38602,,,433,5/8/23,7:30:00,NA,AHY,,,N,30,30,0,0,0,5,5,E2,NA,y,y,n,70.5,57,19.79,7.08,3.19,2.98,36.8,25.6,11.2
CE07D06,AUWA,M,Male,Cloaca,Hope,49.23391,-121.38602,49:14:02,-121:23:10,433,5/8/23,,278065818,ASY,After Second Year,,CP,95,100,0,5,5,0,0,F,100,y,y,y,74.5,58,19.41,7.4,3.11,3.06,39.5,26,13.5
CE07D07,UYRW,M,Male,Cloaca,Hope,49.21899,-121.37486,49:13:08,-121:22:29,449,5/8/23,9:00,278065817,ASY,After Second Year,,CP,100,100,0,80,30,20,60,F,100,y,y,n,73,54,19.4,7.22,3.16,3.27,37.6,26.4,11.2
CE07D08,AUWA,M,Male,Cloaca,Hope,49.21899,-121.37486,49:13:08,-121:22:29,449,5/8/23,9:23:00,278065819,ASY,After Second Year,,CP,95,100,0,10,50,0,5,F,100,n,y,n,75,59.5,19.73,7.32,3.37,3.29,31,19,12
